target_rank,target_path,target_score,target_action,source_path,source_type,anchor,link_score
1,/industry-insights/ladbs-electrical-permit-process-step-by-step-guide/,112.673,"CTR fix, rewrite title and meta around proven queries",/industry-insights/kitchen-electrical-requirements-outlet-placement-guide/,blog,ladbs plan check process timeline,74.485
1,/industry-insights/ladbs-electrical-permit-process-step-by-step-guide/,112.673,"CTR fix, rewrite title and meta around proven queries",/industry-insights/passing-electrical-inspection-common-failures-fixes/,blog,ladbs plan check process timeline,71.542
1,/industry-insights/ladbs-electrical-permit-process-step-by-step-guide/,112.673,"CTR fix, rewrite title and meta around proven queries",/industry-insights/complete-guide-electrical-panel-upgrades-los-angeles/,blog,ladbs plan check process timeline,68.891
1,/industry-insights/ladbs-electrical-permit-process-step-by-step-guide/,112.673,"CTR fix, rewrite title and meta around proven queries",/industry-insights/retail-store-electrical-planning-design-guide/,blog,ladbs plan check process timeline,63.977
1,/industry-insights/ladbs-electrical-permit-process-step-by-step-guide/,112.673,"CTR fix, rewrite title and meta around proven queries",/industry-insights/california-title-24-electrical-requirements-renovations/,blog,ladbs plan check process timeline,63.02
2,/industry-insights/kitchen-electrical-requirements-outlet-placement-guide/,105.986,"CTR fix, rewrite title and meta around proven queries",/industry-insights/california-title-24-electrical-requirements-renovations/,blog,kitchen electrical installation,107.135
2,/industry-insights/kitchen-electrical-requirements-outlet-placement-guide/,105.986,"CTR fix, rewrite title and meta around proven queries",/industry-insights/subpanel-installation-guide-when-why-you-need-one/,blog,kitchen electrical installation,95.444
2,/industry-insights/kitchen-electrical-requirements-outlet-placement-guide/,105.986,"CTR fix, rewrite title and meta around proven queries",/industry-insights/passing-electrical-inspection-common-failures-fixes/,blog,kitchen electrical installation,95.389
2,/industry-insights/kitchen-electrical-requirements-outlet-placement-guide/,105.986,"CTR fix, rewrite title and meta around proven queries",/industry-insights/recessed-lighting-installation-guide/,blog,kitchen electrical installation,94.049
2,/industry-insights/kitchen-electrical-requirements-outlet-placement-guide/,105.986,"CTR fix, rewrite title and meta around proven queries",/industry-insights/bathroom-electrical-safety-gfci-requirements/,blog,kitchen electrical installation,89.861
