Query,Page,Clicks,Impressions,CTR,Position
shaffer construction,https://shaffercon.com/,15,330,4.55%,7.48
shaffer construction,https://shaffercon.com/contact-us/,4,63,6.35%,8.76
schaffer construction,https://shaffercon.com/,3,33,9.09%,9.18
electrical panel upgrade permit los angeles,https://shaffercon.com/industry-insights/ladbs-electrical-permit-process-step-by-step-guide/,2,50,4.00%,6.96
shaffer construction,http://www.shaffercon.com/,2,51,3.92%,3.88
1986,https://shaffercon.com/industry-insights/california-title-24-electrical-requirements-renovations/,1,1,100.00%,10.00
commercial electrician services sherman oaks,https://shaffercon.com/service-areas/sherman-oaks/commercial-electrical-troubleshooting-repairs,1,7,14.29%,8.71
distance between outlets in kitchen,https://shaffercon.com/industry-insights/kitchen-electrical-requirements-outlet-placement-guide/,1,4,25.00%,7.00
electrical final inspection,https://shaffercon.com/industry-insights/passing-electrical-inspection-common-failures-fixes/,1,30,3.33%,4.80
electricians in los angeles,http://www.shaffercon.com/,1,1,100.00%,161.00
ev.construction,https://shaffercon.com/,1,1,100.00%,105.00
kitchen outlet spacing,https://shaffercon.com/industry-insights/kitchen-electrical-requirements-outlet-placement-guide/,1,36,2.78%,7.86
lighting retrofit electrician,https://shaffercon.com/led-retrofit-services/,1,115,0.87%,10.58
nec kitchen circuit requirements,https://shaffercon.com/industry-insights/kitchen-electrical-requirements-outlet-placement-guide/,1,22,4.55%,7.00
schaefer electric,https://shaffercon.com/service-areas/pasadena/,1,1,100.00%,5.00
schafer electric,https://shaffercon.com/service-areas/glendale/,1,5,20.00%,8.80
schaffer construction,https://shaffercon.com/contact-us/,1,18,5.56%,11.72
schaffer electric,https://shaffercon.com/,1,16,6.25%,8.31
shaeffer construction,https://shaffercon.com/,1,1,100.00%,3.00
shaffer construction co,https://shaffercon.com/,1,19,5.26%,9.84
shaffer construction co,https://shaffercon.com/contact-us/,1,3,33.33%,1.00
shaffer electric,https://shaffercon.com/contact-us/,1,15,6.67%,9.40
yes,https://shaffercon.com/industry-insights/ladbs-electrical-permit-process-step-by-step-guide/,1,5,20.00%,3.40
yes,https://shaffercon.com/industry-insights/nec-2026-qualified-installer-requirement-charging-reliability-86-percent-commercial-roi-3-5-year-payback/,1,4,25.00%,3.50
zinsco panel replacement,https://shaffercon.com/industry-insights/panel-upgrades-the-essentials-of-zinsco-panel-upgrade-or-replacement/,1,113,0.88%,7.94
zinsco panel upgrade,https://shaffercon.com/industry-insights/panel-upgrades-the-essentials-of-zinsco-panel-upgrade-or-replacement/,1,16,6.25%,3.88
산호세,https://shaffercon.com/industry-insights/california-2026-building-code-ev-charging-requirements-home-real-estate-trend-32-new-models/,1,1,100.00%,5.00
"""2 million charging sessions per day"" tesla",https://shaffercon.com/industry-insights/tesla-supercharger-business-program-us-dc-fast-charging-record-gas-stations-ev-chargers-california-leads-adoption/,0,1,0.00%,8.00
"""213-482-0000"" ladbs",https://shaffercon.com/industry-insights/ladbs-electrical-permit-process-step-by-step-guide/,0,1,0.00%,10.00
"""according to the u.s. department of energy"" ""electric vehicle registrations""",https://shaffercon.com/industry-insights/emerging-trends-in-ev-charging-infrastructure-innovations-and-challenges-ahead/,0,2,0.00%,5.50
"""almost 2 million charging sessions per day"" tesla",https://shaffercon.com/industry-insights/tesla-supercharger-business-program-us-dc-fast-charging-record-gas-stations-ev-chargers-california-leads-adoption/,0,1,0.00%,9.00
"""august 2024"" ""florida"" ""ev charging"" ""ports""",https://shaffercon.com/industry-insights/dodge-charger-nacs-tesla-supercharger-byd-megawatt-technology-year-environmental-groups-lawsuit-electrify-america-dual-cable,0,1,0.00%,9.00
"""bloombergnef"" ""24.3 million"" ev 2026",https://shaffercon.com/industry-insights/byd-overtakes-tesla-ev-winter-range-improvements-workplace-charging-growth-pennsylvania-nevi/,0,16,0.00%,7.56
"""blue mountain service plaza"" ""ccs""",https://shaffercon.com/industry-insights/china-mandatory-ev-efficiency-rules-genesis-gv60-nacs-pennsylvania-nevi-slate-truck-discontinued-evs/,0,5,0.00%,6.00
"""blue mountain"" ""ccs"" ""turnpike""",https://shaffercon.com/industry-insights/china-mandatory-ev-efficiency-rules-genesis-gv60-nacs-pennsylvania-nevi-slate-truck-discontinued-evs/,0,1,0.00%,6.00
"""charging sessions per day"" ""tesla"" 2023",https://shaffercon.com/ev-charging-infrastructure-update-nevi-milestones-tesla-record-expansion-and-growing-infrastructure-demands/,0,21,0.00%,4.38
"""charging sessions per day"" tesla",https://shaffercon.com/ev-charging-infrastructure-update-nevi-milestones-tesla-record-expansion-and-growing-infrastructure-demands/,0,5,0.00%,4.60
"""charging sessions per day"" tesla 2023",https://shaffercon.com/ev-charging-infrastructure-update-nevi-milestones-tesla-record-expansion-and-growing-infrastructure-demands/,0,87,0.00%,4.47
"""cybertruck"" ""362 miles"" epa",https://shaffercon.com/industry-insights/tesla-model-y-juniper-wisconsin-ev-grants-georgia-rivian-hyundai-new-evs-cybertruck-long-range/,0,1,0.00%,10.00
"""enphase iq ev charger 2"" torque terminals",https://shaffercon.com/industry-insights/the-state-of-ev-charging-the-reality-innovations-and-whats-next-for-electric-vehicle-owners/,0,4,0.00%,8.00
"""ev charging"" ""trends.google.com/trends/explore""",https://shaffercon.com/industry-insights/navigating-the-future-essential-trends-and-tips-for-ev-charging-infrastructure,0,1,0.00%,11.00
"""first step in the sales panel upgrade""",https://shaffercon.com/industry-insights/complete-guide-electrical-panel-upgrades-los-angeles/,0,4,0.00%,6.50
"""home ev charger"" google trends state",https://shaffercon.com/industry-insights/,0,1,0.00%,7.00
"""home ev charger"" google trends state interest",https://shaffercon.com/industry-insights/,0,2,0.00%,12.00
"""i-15"" ""alternative fuel corridor"" california",https://shaffercon.com/industry-insights/october-2025-ev-charging-milestone-record-u-s-infrastructure-expansion-california-reliability-standards-and-innovative-streetlight-solutions-transform-los-angeles-landscape/,0,16,0.00%,7.81
"""i-15"" ""alternative fuel corridor"" california ev",https://shaffercon.com/industry-insights/october-2025-ev-charging-milestone-record-u-s-infrastructure-expansion-california-reliability-standards-and-innovative-streetlight-solutions-transform-los-angeles-landscape/,0,18,0.00%,6.67
"""i-15"" ""nevi"" california corridor group",https://shaffercon.com/industry-insights/october-2025-ev-charging-milestone-record-u-s-infrastructure-expansion-california-reliability-standards-and-innovative-streetlight-solutions-transform-los-angeles-landscape/,0,1,0.00%,4.00
"""i-15"" ""nevi"" california energy commission",https://shaffercon.com/industry-insights/october-2025-ev-charging-milestone-record-u-s-infrastructure-expansion-california-reliability-standards-and-innovative-streetlight-solutions-transform-los-angeles-landscape/,0,6,0.00%,8.33
"""sessions per day"" tesla supercharger 2023",https://shaffercon.com/ev-charging-infrastructure-update-nevi-milestones-tesla-record-expansion-and-growing-infrastructure-demands/,0,8,0.00%,7.12
"""tesla wall connector"" ""nema 3r""",https://shaffercon.com/industry-insights/how-to-choose-right-ev-charger-los-angeles/,0,1,0.00%,10.00
"""tesla"" ""charging sessions per day"" 2023",https://shaffercon.com/ev-charging-infrastructure-update-nevi-milestones-tesla-record-expansion-and-growing-infrastructure-demands/,0,2,0.00%,4.50
"""the point hotel & suites"" envirospark charging",https://shaffercon.com/industry-insights/colliers-envirospark-chargepoint-express-grid-wyoming-ev-marketplace-tesla-lost-hills-2025-technology-breakthroughs/,0,1,0.00%,4.00
"""understand your bill"" ladwp",https://shaffercon.com/industry-insights/understanding-your-los-angeles-electrical-bill,0,35,0.00%,1.00
*panel upgrade,https://shaffercon.com/industry-insights/complete-guide-electrical-panel-upgrades-los-angeles,0,6,0.00%,14.00
*panel upgrade,https://shaffercon.com/industry-insights/complete-guide-electrical-panel-upgrades-los-angeles/,0,10,0.00%,9.40
15 or 20 amp,https://shaffercon.com/industry-insights/kitchen-electrical-requirements-outlet-placement-guide/,0,1,0.00%,8.00
200 amp panel upgrade cost los angeles,https://shaffercon.com/industry-insights/complete-guide-electrical-panel-upgrades-los-angeles/,0,5,0.00%,20.60
200 amp service panel upgrade los angeles,https://shaffercon.com/industry-insights/complete-guide-electrical-panel-upgrades-los-angeles/,0,19,0.00%,13.63
200amp electrical panel capacity 60amp ev charger continuous load,https://shaffercon.com/industry-insights/do-i-need-panel-upgrade-install-ev-charger,0,6,0.00%,18.17
2020 nec kitchen circuit requirements,https://shaffercon.com/industry-insights/kitchen-electrical-requirements-outlet-placement-guide/,0,4,0.00%,45.25
2023 nec ev charger requirements,https://shaffercon.com/industry-insights/commercial-electrician-ev-charging-safety/,0,1,0.00%,93.00
2023 nec ev charger requirements,https://shaffercon.com/industry-insights/nec-2026-qualified-installer-requirement-charging-reliability-86-percent-commercial-roi-3-5-year-payback/,0,2,0.00%,41.00
2025 california electrical code,https://shaffercon.com/industry-insights/california-title-24-electrical-requirements-renovations/,0,1,0.00%,64.00
2025 california electrical code cec 210.12 afci requirements dwelling units,https://shaffercon.com/industry-insights/afci-installation-electrical-safety/,0,20,0.00%,5.00
2026,https://shaffercon.com/industry-insights/afci-vs-gfci-circuit-protection-los-angeles/,0,1,0.00%,4.00
2026 electric charger,https://shaffercon.com/industry-insights/california-2026-building-code-ev-charging-requirements-home-real-estate-trend-32-new-models/,0,1,0.00%,1.00
2026 electric charger,https://shaffercon.com/industry-insights/nec-2026-qualified-installer-requirement-charging-reliability-86-percent-commercial-roi-3-5-year-payback/,0,1,0.00%,1.00
2026 ev charger,https://shaffercon.com/industry-insights/nec-2026-qualified-installer-requirement-charging-reliability-86-percent-commercial-roi-3-5-year-payback/,0,1,0.00%,1.00
2026 glc 400,https://shaffercon.com/industry-insights/ces-2026-mercedes-electric-glc-chargepoint-600kw-used-ev-deals-afeela-tesla-robotaxi/,0,1,0.00%,1.00
2026 power claim system,https://shaffercon.com/industry-insights/nec-2026-qualified-installer-requirement-charging-reliability-86-percent-commercial-roi-3-5-year-payback/,0,2,0.00%,5.00
24 electrical,https://shaffercon.com/industry-insights/california-title-24-electrical-requirements-renovations/,0,43,0.00%,43.07
24 electrician,https://shaffercon.com/industry-insights/california-title-24-electrical-requirements-renovations/,0,1,0.00%,12.00
24 hour electrician vs regular electrician for electrical repairs,https://shaffercon.com/industry-insights/emergency-electrical-repairs-when-to-call-electrician/,0,1,0.00%,7.00
24 hour emergency electrical service near me in beverly hills ca,https://shaffercon.com/statewide-facilities-maintenance/,0,1,0.00%,67.00
24 hour emergency electrical service near me in burbank ca,https://shaffercon.com/service-areas/burbank/,0,3,0.00%,91.00
24 point electrical inspection,https://shaffercon.com/industry-insights/california-title-24-electrical-requirements-renovations/,0,3,0.00%,23.33
24/7 generator service glendale,https://shaffercon.com/service-areas/glendale/commercial-backup-generator-installation/,0,1,0.00%,27.00
325 north larchmont blvd,https://shaffercon.com/commercial-electric-vehicle-chargers/,0,1,0.00%,11.00
40 amp range outlet,https://shaffercon.com/industry-insights/kitchen-electrical-requirements-outlet-placement-guide/,0,14,0.00%,1.00
40 amp range receptacle,https://shaffercon.com/industry-insights/kitchen-electrical-requirements-outlet-placement-guide/,0,3,0.00%,1.00
40a range receptacle,https://shaffercon.com/industry-insights/kitchen-electrical-requirements-outlet-placement-guide/,0,1,0.00%,1.00
5 year electrical inspection,https://shaffercon.com/industry-insights/california-title-24-electrical-requirements-renovations/,0,1,0.00%,56.00
550kw ev charger,https://shaffercon.com/industry-insights/ev-charging-infrastructure-in-2025-growth-innovation-and-the-road-ahead/,0,1,0.00%,13.00
